x y z intensity
1.09361e-16 1.786 0 0.01606775
0.007757964 1.777983 0 0.01599145
0.01554196 1.780932 0 0.01611353
0.02332566 1.781847 0 0.01609827
0.03130962 1.793727 0 0.01651026
0.04020483 1.842561 0 0.01661707
0.04994562 1.907346 0 0.0174258
0.05906149 1.933098 0 0.01736477
0.06857751 1.963803 0 0.01646448
0.07793073 1.98347 0 0.01701381
0.08654086 1.982112 0 0.0165713
0.09422904 1.961738 0 0.01640345
0.1011654 1.930351 0 0.01686122
0.1087935 1.915914 0 0.01699855
0.1162975 1.901447 0 0.01661707
0.1234811 1.883958 0 0.01654078
0.1314212 1.879411 0 0.016495
0.1376936 1.852891 0 0.01647974
0.1458555 1.853269 0 0.01673915
0.1538576 1.851619 0 0.0168307
0.1619354 1.85093 0 0.0168307
0.170376 1.854189 0 0.01670863
0.1784648 1.853428 0 0.01670863
0.1865502 1.852631 0 0.01670863
0.2007992 1.910477 0 0.01727321
0.212617 1.941392 0 0.01728847
0.2184822 1.917594 0 0.01669337
0.2266121 1.914636 0 0.0168307
0.2374015 1.93348 0 0.01719692
0.2489906 1.957226 0 0.0174258
0.2575282 1.956121 0 0.0174258
0.2924917 2.149188 0 0.01535058
0.3064592 2.18057 0 0.01593042
0.3168317 2.18515 0 0.01593042
0.3251807 2.175835 0 0.01609827
0.3298035 2.142768 0 0.01574731
0.3163105 1.997106 0 0.01660182
0.3245392 1.992746 0 0.01695277
0.3348816 2.001173 0 0.01664759
0.3654562 2.12683 0 0.01588464
0.3757747 2.131124 0 0.01501488
0.3866713 2.13832 0 0.01547265
0.3972735 2.143496 0 0.01593042
0.4116586 2.168268 0 0.01545739
0.4161544 2.140929 0 0.0156405
0.4192491 2.107708 0 0.0163119
0.4270461 2.098999 0 0.01629664
0.4307023 2.070681 0 0.01629664
0.4382778 2.061935 0 0.01626612
0.4542724 2.092252 0 0.01609827
0.4655616 2.100013 0 0.01579309
0.4515469 1.99555 0 0.01559472
0.4512518 1.954586 0 0.01634241
0.459776 1.952599 0 0.01634241
0.4734272 1.971966 0 0.0165713
0.4867807 1.989309 0 0.01596094
0.5010203 2.009482 0 0.01626612
0.517168 2.036354 0 0.01644923
0.5288026 2.044728 0 0.01593042
0.549431 2.086885 0 0.01510643
0.5585315 2.084468 0 0.01510643
0.5684105 2.084905 0 0.01541161
0.5761659 2.077587 0 0.0156405
0.5873972 2.082753 0 0.01612879
0.5964792 2.08017 0 0.01596094
0.6061096 2.079468 0 0.01576257
0.6148932 2.075845 0 0.01567101
0.6230803 2.070269 0 0.01570153
0.6321076 2.067531 0 0.01570153
0.6334128 2.039923 0 0.01609827
0.6206568 1.968472 0 0.01609827
0.6240572 1.949554 0 0.01593042
0.635339 1.955372 0 0.01629664
0.64042 1.942135 0 0.01614404
0.6463496 1.931735 0 0.01681544
0.6550936 1.929844 0 0.01730373
0.6635079 1.926967 0 0.016907
0.6785033 1.942935 0 0.01646448
0.7043325 1.988973 0 0.01618982
0.7403755 2.062117 0 0.01651026
0.7589427 2.085178 0 0.0165713
0.7725333 2.094043 0 0.0168307
0.7802621 2.086906 0 0.01684596
0.7957377 2.100314 0 0.016907
0.8167205 2.12763 0 0.01603723
0.8531792 2.193947 0 0.01602197
0.8730059 2.216255 0 0.0158999
0.8986018 2.252363 0 0.01608301
0.9204084 2.278091 0 0.01580835
0.9276891 2.267574 0 0.01576257
0.9234151 2.229321 0 0.01635767
0.9037435 2.155184 0 0.01635767
0.9162645 2.158584 0 0.0163119
0.94778 2.206018 0 0.01606775
0.9833152 2.26147 0 0.01580835
1.00002 2.272718 0 0.01579309
1.02457 2.301221 0 0.01591516
1.041583 2.312228 0 0.01506065
1.057882 2.321311 0 0.01480125
1.065908 2.312133 0 0.0146334
1.075563 2.306553 0 0.01498436
1.081778 2.293698 0 0.01518273
1.087902 2.280833 0 0.01554894
1.092195 2.264355 0 0.01573205
1.090229 2.235301 0 0.01567101
1.107049 2.244873 0 0.01577783
1.124418 2.255234 0 0.0158999
1.132448 2.246735 0 0.01580835
1.134068 2.225734 0 0.01533532
1.150179 2.233211 0 0.01570153
1.166377 2.240589 0 0.01548791
1.173814 2.231054 0 0.01518273
1.184946 2.22856 0 0.01550317
1.192766 2.219845 0 0.01518273
1.208643 2.226044 0 0.01562524
1.224116 2.23127 0 0.0153048
1.228508 2.216286 0 0.0153048
1.239632 2.213522 0 0.01524376
1.251248 2.211574 0 0.01538109
1.26436 2.212171 0 0.01548791
1.271 2.201437 0 0.01551843
1.274044 2.18464 0 0.01551843
1.289147 2.188538 0 0.01554894
1.299707 2.184611 0 0.01510643
1.307167 2.175491 0 0.0146334
1.322872 2.180025 0 0.01469444
1.325579 2.163148 0 0.01445029
1.330795 2.150541 0 0.01467918
1.321619 2.115032 0 0.01513695
1.281742 2.031438 0 0.0158999
1.286833 2.019922 0 0.01596094
1.291306 2.00756 0 0.01654078
1.307678 2.013648 0 0.01635767
1.361412 2.076499 0 0.01547265
1.382602 2.088884 0 0.01519799
1.379481 2.064539 0 0.0149691
1.387358 2.056842 0 0.0149691
1.400259 2.056555 0 0.01495384
1.418848 2.064436 0 0.01536584
1.426132 2.055761 0 0.01570153
1.44025 2.056891 0 0.01565576
1.441709 2.039971 0 0.01538109
1.450596 2.033661 0 0.01608301
1.45186 2.016761 0 0.0155642
1.450066 1.995845 0 0.0149691
1.458761 1.989499 0 0.0153048
1.453152 1.963822 0 0.01513695
1.448544 1.939835 0 0.01519799
1.429311 1.896759 0 0.01570153
1.437573 1.890505 0 0.0161593
1.437286 1.873107 0 0.01579309
1.445445 1.866818 0 0.01557946
1.456039 1.863645 0 0.01554894
1.477158 1.873766 0 0.01544213
1.49777 1.882955 0 0.01535058
1.537268 1.915396 0 0.01547265
1.561344 1.928099 0 0.01533532
1.576702 1.929786 0 0.01570153
1.590196 1.929061 0 0.01547265
1.604992 1.929793 0 0.0155642
1.632681 1.945753 0 0.01507591
1.648908 1.947769 0 0.01518273
1.657391 1.940556 0 0.01518273
1.671065 1.939366 0 0.01519799
1.68476 1.938094 0 0.01519799
1.690563 1.927717 0 0.01513695
1.708234 1.930808 0 0.01532006
1.730626 1.939003 0 0.01516747
1.755799 1.950012 0 0.01510643
1.773031 1.951955 0 0.01455711
1.779505 1.941988 0 0.01397726
1.773706 1.918785 0 0.01466392
1.769786 1.897863 0 0.01402304
1.804087 1.917801 0 0.01513695
1.877143 1.978096 0 0.01467918
1.885756 1.969887 0 0.01467918
1.894333 1.96164 0 0.0147097
1.91055 1.961235 0 0.01477073
1.944322 1.978557 0 0.01431296
1.952233 1.969344 0 0.01435874
1.953736 1.953736 0 0.014374
1.965793 1.948713 0 0.01525902
1.974277 1.940117 0 0.01525902
1.979142 1.927995 0 0.01460288
1.986817 1.918646 0 0.01472496
1.99228 1.907193 0 0.01483177
1.999132 1.897105 0 0.0150454
2.001563 1.882883 0 0.01525902
2.036089 1.898683 0 0.01533532
2.086945 1.929152 0 0.01467918
2.127782 1.949753 0 0.01480125
2.126647 1.93171 0 0.01487755
2.125394 1.913714 0 0.0149691
2.151629 1.920403 0 0.01469444
2.159988 1.910996 0 0.01469444
2.178832 1.910784 0 0.01509117
2.241488 1.948495 0 0.01478599
2.253756 1.94196 0 0.01467918
2.263729 1.933407 0 0.01480125
2.270617 1.922219 0 0.01441978
2.288941 1.920649 0 0.01458762
2.305757 1.917678 0 0.01420615
2.323362 1.915231 0 0.01441978
2.331696 1.905076 0 0.01440452
2.339987 1.894884 0 0.01440452
2.36071 1.89467 0 0.01396201
2.386172 1.898047 0 0.0137026
2.408567 1.898761 0 0.01365682
2.421557 1.891928 0 0.01373312
2.433743 1.884405 0 0.0137789
2.432421 1.866463 0 0.0137026
2.314774 1.760195 0 0.01440452
2.355975 1.775354 0 0.01416037
2.439017 1.8213 0 0.01359579
2.478291 1.833839 0 0.01373312
2.447559 1.794625 0 0.01374838
2.414916 1.754539 0 0.01435874
2.450953 1.764434 0 0.01419089
2.526201 1.801921 0 0.01368734
2.50219 1.768373 0 0.01393149
2.477935 1.735069 0 0.01417563
